reference;polymer_type;polymer_type_style;polymer_architecture;polymerisation_type;SMILES_start_group;SMILES_end_group;SMILES_repeating_unitA;molpercent_repeating_unitA;SMILES_repeating_unitB;molpercent_repeating_unitB;SMILES_repeating_unitC;molpercent_repeating_unitC;SMILES_repeating_unitD;molpercent_repeating_unitD;SMILES_repeating_unitE;molpercent_repeating_unitE;Mn;Mw;PDI;mass_characterisation_method;mass_characterisation_standart;polymer_concentration_mass_conc;polymer_concentration_wpercent;additive1;additive1_concentration_molar;additive1_concentration_weight_percent;additive2;additive2_concentration_molar;additive2_concentration_weight_percent;cloud_point;N/A;def_type;pH;identifier;comment;tacticity;rating
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaOAc;0,1;;;;;22,7;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaOAc;0,2;;;;;20,3;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaOAc;0,3;;;;;18,5;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaOAc;0,4;;;;;18,3;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaOAc;0,5;;;;;16,4;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiOAc;0,1;;;;;23,9;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiOAc;0,2;;;;;22,4;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiOAc;0,3;;;;;22,2;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiOAc;0,4;;;;;21,5;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiOAc;0,5;;;;;20,3;;C;;PnPropOx;;;
